Pasal,Isi Pasal
Pasal 249,1 pusat kendali sistem informasi komunikasi lalu-lintas angkut jalan fungsi pusat a kendali b koordinasi c komunikasi d data informasi padu e layan masyarakat f rekam jejak elektronis tega hukum 2 kelola pusat kendali sistem informasi komunikasi lalu-lintas angkut jalan maksud ayat 1 tuju wujud layan lalu-lintas angkut jalan aman selamat tertib lancar padu 3 giat pusat kendali sistem informasi komunikasi lalu-lintas angkut jalan liput a layan butuh data informasi komunikasi lalu-lintas angkut jalan b dukung tindak cepat hadap langgar macet celaka dampak hadap lalu-lintas angkut jalan c analisis evaluasi hadap langgar macet celaka lalu-lintas d dukung tega hukum alat elektronik langsung e dukung layan surat izin kemudi surat tanda nomor kendara motor buku milik kendara motor f informasi hilang temu kendara motor g informasi kualitas baku mutu udara h dukung kendali lalu-lintas atur jaga patroli i dukung kendali gera lalu-lintas angkut jalan j informasi kondisi jalan layan publik
Pasal 250,data informasi pusat kendali sistem informasi komunikasi lalu-lintas angkut jalan akses masyarakat
Pasal 251,sistem informasi komunikasi lalu-lintas angkut jalan tega hukum liput a lidi sidi tindak pidana lalu-lintas angkut jalan jahat b tindak tangan celaka langgar macet lalu-lintas polisi negara republik indonesia c kejar penghadangan tangkap tindak hadap laku kendara libat jahat langgar lalu-lintas atur
Pasal 252,kena sistem informasi komunikasi lalu-lintas angkut jalan atur atur perintah
Pasal 253,1 bina lalu-lintas angkut jalan wajib kembang sumber daya manusia hasil tugas profesional milik kompetensi bidang lalu-lintas angkut jalan 2 kembang sumber daya manusia bidang lalu-lintas angkut jalan maksud ayat 1 laksana didik latih a perintah b polisi negara republik indonesia c lembaga swasta akreditasi
Pasal 254,1 perintah perintah daerah wajib layan mudah jamin selenggara didik latih tenaga mekanik kemudi 2 perintah perintah daerah wajib laku bina hadap manajemen usaha angkut tingkat kualitas layan aman selamat tertib lancar lalu-lintas angkut jalan
Pasal 255,kena kembang sumber daya manusia bidang lalu-lintas angkut jalan atur atur perintah
Pasal 256,1 masyarakat hak peran selenggara lalu-lintas angkut jalan 2 peran masyarakat maksud ayat 1 upa a pantau jaga aman selamat tertib lancar lalu-lintas angkut jalan b masuk instansi bina selenggara lalu-lintas angkut jalan tingkat pusat daerah sempurna atur pedoman standar teknis bidang lalu-lintas angkut jalan c timbang instansi bina selenggara lalu-lintas angkut jalan tingkat pusat daerah hadap giat selenggara lalu-lintas angkut jalan timbul dampak lingkung d dukung hadap selenggara lalu-lintas angkut jalan 3 perintah perintah daerah timbang menindaklanjuti masuk dukung masyarakat maksud ayat 2
Pasal 257,peran masyarakat maksud pasal 256 laku orang kelompok organisasi profesi badan usaha organisasi masyarakat sesuai prinsip buka mitra
Pasal 258,masyarakat wajib peran pelihara sarana prasarana jalan kembang disiplin etika berlalu-lintas partisipasi pelihara aman selamat tertib lancar lalu-lintas angkut jalan
Pasal 259,1 sidi tindak pidana lalu-lintas angkut jalan laku a sidik polisi negara republik indonesia b sidik pegawai negeri sipil wewenang khusus undang 2 sidik polisi negara republik indonesia bidang lalu-lintas angkut jalan maksud ayat 1 huruf a a sidik b sidik bantu paragraf 1
Pasal 260,1 tindak langgar sidi tindak pidana sidik polisi negara republik indonesia atur kitab undang hukum acara pidana undang polisi negara republik indonesia bidang lalu-lintas angkut jalan wenang a henti larang tunda operasi sita kendara motor patut duga langgar atur berlalu-lintas rupa alat hasil jahat b laku periksa terang kait sidi tindak pidana bidang lalu-lintas angkut jalan c terang kemudi milik kendara motor usaha angkut d laku sita hadap surat izin kemudi kendara motor muat surat tanda nomor kendara motor surat tanda coba kendara motor tanda lulus uji barang bukti e laku tindak hadap tindak pidana langgar jahat lalu-lintas atur perundang- undang f menandatangani berita acara periksa g henti sidi bukti h laku tahan kait tindak pidana jahat lalu-lintas i laku tindak hukum tanggung 2 laksana tindak langgar sidi tindak pidana maksud ayat 1 laku sesuai atur undang
Pasal 261,sidik bantu maksud pasal 259 ayat 2 huruf b wewenang maksud pasal 260 ayat 1 kecuali kena tahan maksud pasal 260 ayat 1 huruf h wajib limpah wewenang sidik polisi negara republik indonesia bidang lalu-lintas angkut jalan paragraf 2
Pasal 262,1 sidik pegawai negeri sipil maksud pasal 259 ayat 1 huruf b wenang a laku periksa langgar syarat teknis laik jalan kendara motor bukti ahli alat khusus b laku periksa langgar izin angkut orang barang kendara motor c laku periksa langgar muat dimensi kendara motor timbang pasang d larang tunda operasi kendara motor penuh syarat teknis laik jalan e terang kemudi milik kendara motor usaha angkut langgar syarat teknis laik jalan uji kendara motor izin f laku sita surat tanda lulus uji surat izin selenggara angkut langgar maksud huruf a huruf b huruf c menandatangani berita acara periksa 2 wenang sidik pegawai negeri sipil maksud ayat 1 laksana terminal alat timbang pasang 3 wenang maksud ayat 1 laksana jalan sidik pegawai negeri sipil wajib koordinasi damping tugas polisi negara republik indonesia paragraf 3
Pasal 263,1 sidik polisi negara republik indonesia koordinator awas laksana bina awas hadap sidik pegawai negeri sipil bidang lalu-lintas angkut jalan 2 laksana wenang sidik pegawai negeri sipil wajib koordinasi sidik polisi negara republik indonesia 3 sidik pegawai negeri sipil maksud ayat 1 wajib serah berkas perkara hasil sidi langgar lalu-lintas angkut jalan barang bukti adil sidik polisi negara republik indonesia 4 kena bina awas maksud ayat 1 laksana sesuai atur perundang- undang tindak langgar lalu-lintas angkut jalan paragraf 1 periksa kendara motor jalan
Pasal 264,periksa kendara motor jalan laku a tugas polisi negara republik indonesia b sidik pegawai negeri sipil bidang lalu-lintas angkut jalan
Pasal 265,1 periksa kendara motor jalan maksud pasal 264 liput periksa a surat izin kemudi surat tanda nomor kendara motor surat tanda coba kendara motor tanda nomor kendara motor tanda coba kendara motor b tanda bukti lulus uji kendara wajib uji c fisik kendara motor d daya angkut angkut barang e izin selenggara angkut 2 periksa kendara motor jalan maksud ayat 1 laku insidental sesuai butuh 3 laksana periksa kendara motor maksud ayat 1 tugas polisi negara republik indonesia wenang a henti kendara motor b terang kemudi c laku tindak hukum tanggung
Pasal 266,1 periksa kendara motor jalan maksud pasal 265 ayat 1 laku insidental tugas polisi negara republik indonesia 2 periksa kendara motor jalan maksud pasal 265 ayat 1 huruf b huruf e laku insidental sidik pegawai negeri sipil 3 periksa kendara motor jalan maksud pasal 265 ayat 2 laku gabung tugas polisi negara republik indonesia sidik pegawai negeri sipil 4 sidik pegawai negeri sipil laksana periksa kendara motor jalan maksud ayat 2 wajib damping tugas polisi negara republik indonesia paragraf 2
Pasal 267,1 langgar bidang lalu-lintas angkut jalan periksa acara periksa cepat kena pidana denda dasar adil 2 acara periksa cepat maksud ayat 1 laksana hadir langgar 3 langgar hadir maksud ayat 2 titip denda bank perintah 4 denda titip bank maksud ayat 3 denda maksimal kena langgar lalu-lintas angkut jalan 5 bukti titip uang denda wajib lampir berkas bukti langgar
Pasal 268,1 putus adil pidana denda uang denda titip sisa uang denda diberitahukan langgar ambil 2 sisa uang denda maksud ayat 1 ambil 1 putus adil setor kas negara
Pasal 269,1 uang denda adil maksud pasal 267 ayat 1 setor kas negara terima negara pajak 2 terima negara pajak maksud ayat 1 alokasi insentif tugas polisi negara republik indonesia sidik pegawai negeri sipil laksana tega hukum jalan laksana sesuai atur undang tangan benda sita
Pasal 270,1 sidik polisi negara republik indonesia wenang laku sita simpan titip benda sita duga hubung tindak pidana lalu-lintas angkut jalan 2 benda sita simpan rumah simpan benda sita negara 3 rumah simpan benda sita negara sangkut simpan benda sita laku kantor polisi negara republik indonesia kantor jaksa negeri kantor adil negeri paksa simpan benda sita 4 tata sita simpan titip benda sita maksud ayat 1 laku kitab undang hukum acara pidana
Pasal 271,1 sidik wajib identifikasi benda sita kendara motor milik media massa 2 maksud ayat 1 ciri kendara motor simpan tanggal sita 3 maksud ayat 1 laku 1 kali 6 enam 4 benda sita kendara motor maksud ayat 1 1 milik lelang negara dasar adil
Pasal 272,1 dukung giat tindak langgar bidang lalu-lintas angkut jalan alat elektronik 2 hasil alat elektronik maksud ayat 1 alat bukti adil
Pasal 273,1 selenggara jalan patut jalan rusak akibat celaka lalu-lintas maksud pasal 24 ayat 1 timbul korban luka ringan rusa kendara barang pidana penjara 6 enam denda rp12 000 000 00 belas juta rupiah 2 maksud ayat 1 akibat luka berat laku pidana pidana penjara 1 denda rp24 000 000 00 puluh juta rupiah 3 maksud ayat 1 akibat orang tinggal dunia laku pidana pidana penjara 5 denda rp120 000 000 00 ratus puluh juta rupiah
Pasal 274,1 orang laku akibat rusa ganggu fungsi jalan maksud pasal 28 ayat 1 pidana pidana penjara 1 denda rp24 000 000 00 puluh juta rupiah 2 ancam pidana maksud ayat 1 laku orang laku akibat ganggu fungsi lengkap jalan maksud pasal 28 ayat 2
Pasal 275,1 orang laku akibat ganggu fungsi rambu lalu-lintas marka jalan alat isyarat lalu-lintas fasilitas pejal kaki alat kam jalan maksud pasal 28 ayat 2 pidana pidana kurung 1 denda rp250 000 00 ratus puluh ribu rupiah 2 orang rusak rambu lalu-lintas marka jalan alat isyarat lalu-lintas fasilitas pejal kaki alat kam jalan fungsi maksud pasal 28 ayat 2 pidana pidana penjara 2 denda rp50 000 000 00 puluh juta rupiah
Pasal 276,orang kemudi kendara motor trayek singgah terminal maksud pasal 36 pidana pidana kurung 1 denda rp250 000 00 ratus puluh ribu rupiah
Pasal 277,orang masuk kendara motor kereta gandeng kereta tempel wilayah republik indonesia rakit modifikasi kendara motor ubah tipe kereta gandeng kereta tempel kendara khusus operasi negeri penuh wajib uji tipe maksud pasal 50 ayat 1 pidana pidana penjara 1 denda rp24 000 000 00 puluh juta rupiah
Pasal 278,
Pasal 279,orang kemudi kendara motor jalan pasang lengkap ganggu selamat berlalu-lintas maksud pasal 58 pidana pidana kurung 2 denda rp500 000 00 ratus ribu rupiah
Pasal 280,orang kemudi kendara motor jalan pasang tanda nomor kendara motor polisi negara republik indonesia maksud pasal 68 ayat 1 pidana pidana kurung 2 denda rp500 000 00 ratus ribu rupiah
Pasal 281,orang kemudi kendara motor jalan milik surat izin kemudi maksud pasal 77 ayat 1 pidana pidana kurung 4 denda rp1 000 000 00 juta rupiah
Pasal 282,jalan patuh perintah tugas polisi negara republik indonesia maksud pasal 104 ayat 3 pidana pidana kurung 1 denda rp250 000 00 ratus puluh ribu rupiah
Pasal 283,orang kemudi kendara motor jalan wajar laku giat pengaruh akibat ganggu konsentrasi kemudi jalan maksud pasal 106 ayat 1 pidana pidana kurung 3 denda rp750 000 00 tujuh ratus puluh ribu rupiah
Pasal 284,orang kemudi kendara motor utama selamat pejal kaki sepeda maksud pasal 106 ayat 2 pidana pidana kurung 2 denda rp500 000 00 ratus ribu rupiah
Pasal 285,1 orang kemudi sepeda motor jalan penuh syarat teknis laik jalan liput kaca spion klakson lampu utama lampu rem lampu arah alat pantul cahaya alat ukur cepat knalpot alur ban maksud pasal 106 ayat 3 juncto pasal 48 ayat 2 ayat 3 pidana pidana kurung 1 denda rp250 000 00 ratus puluh ribu rupiah 2 orang kemudi kendara motor roda jalan penuh syarat teknis liput kaca spion klakson lampu utama lampu mundur lampu tanda batas dimensi badan kendara lampu gandeng lampu rem lampu arah alat pantul cahaya alat ukur cepat alur ban kaca spakbor bumper gandeng tempel hapus kaca maksud pasal 106 ayat 3 juncto pasal 48 ayat 2 pidana pidana kurung 2 denda rp500 000 00 ratus ribu rupiah
Pasal 286,orang kemudi kendara motor roda jalan penuh syarat laik jalan maksud pasal 106 ayat 3 juncto pasal 48 ayat 3 pidana pidana kurung 2 denda rp500 000 00 ratus ribu rupiah
Pasal 287,1 orang kemudi kendara motor jalan langgar atur perintah larang nyata rambu lalu-lintas maksud pasal 106 ayat 4 huruf a marka jalan maksud pasal 106 ayat 4 huruf b pidana pidana kurung 2 denda rp500 000 00 ratus ribu rupiah 2 orang kemudi kendara motor jalan langgar atur perintah larang nyata alat isyarat lalu-lintas maksud pasal 106 ayat 4 huruf c pidana pidana kurung 2 denda rp500 000 00 ratus ribu rupiah 3 orang kemudi kendara motor jalan langgar atur gera lalu-lintas maksud pasal 106 ayat 4 huruf d tata henti parkir maksud pasal 106 ayat 4 huruf e pidana pidana kurung 1 denda rp250 000 00 ratus puluh ribu rupiah 4 orang kemudi kendara motor jalan langgar kena hak utama kendara motor alat bunyi sinar maksud pasal 59 pasal 106 ayat 4 huruf f pasal 134 pidana pidana kurung 1 denda rp250 000 00 ratus puluh ribu rupiah 5 orang kemudi kendara motor jalan langgar atur batas cepat rendah maksud pasal 106 ayat 4 huruf g pasal 115 huruf a pidana pidana kurung 2 denda rp500 000 00 ratus ribu rupiah 6 orang kemudi kendara motor jalan langgar atur tata gandeng tempel kendara maksud pasal 106 ayat 4 huruf h pidana pidana kurung 1 denda rp250 000 00 ratus puluh ribu rupiah
Pasal 288,1 orang kemudi kendara motor jalan lengkap surat tanda nomor kendara motor surat tanda coba kendara motor polisi negara republik indonesia maksud pasal 106 ayat 5 huruf a pidana pidana kurung 2 denda rp500 000 00 ratus ribu rupiah 2 orang kemudi kendara motor jalan surat izin kemudi sah maksud pasal 106 ayat 5 huruf b pidana pidana kurung 1 denda rp250 000 00 ratus puluh ribu rupiah 3 orang kemudi mobil tumpang mobil bus mobil barang kereta gandeng kereta tempel lengkap surat terang uji tanda lulus uji maksud pasal 106 ayat 5 huruf c pidana pidana kurung 2 denda rp500 000 00 ratus ribu rupiah
Pasal 289,orang kemudi kendara motor tumpang duduk samping kemudi kena sabuk selamat maksud pasal 106 ayat 6 pidana pidana kurung 1 denda rp250 000 00 ratus puluh ribu rupiah
Pasal 290,orang kemudi tumpang kendara motor sepeda motor lengkap rumah kena sabuk selamat kena helm maksud pasal 106 ayat 7 pidana pidana kurung 1 denda rp250 000 00 ratus puluh ribu rupiah
Pasal 291,1 orang kendara sepeda motor kena helm standar nasional indonesia maksud pasal 106 ayat 8 pidana pidana kurung 1 denda rp250 000 00 ratus puluh ribu rupiah 2 orang kendara sepeda motor biar tumpang kena helm maksud pasal 106 ayat 8 pidana pidana kurung 1 denda rp250 000 00 ratus puluh ribu rupiah
Pasal 292,orang kemudi sepeda motor kereta samping angkut tumpang 1 orang maksud pasal 106 ayat 9 pidana pidana kurung 1 denda rp250 000 00 ratus puluh ribu rupiah
Pasal 293,1 orang kemudi kendara motor jalan nyala lampu utama malam kondisi maksud pasal 107 ayat 1 pidana pidana kurung 1 denda rp250 000 00 ratus puluh ribu rupiah 2 orang kemudi sepeda motor jalan nyala lampu utama siang maksud pasal 107 ayat 2 pidana pidana kurung 15 belas denda rp100 000 00 ratus ribu rupiah
Pasal 294,orang kemudi kendara motor belok arah isyarat lampu arah isyarat tangan maksud pasal 112 ayat 1 pidana pidana kurung 1 denda rp250 000 00 ratus puluh ribu rupiah
Pasal 295,orang kemudi kendara motor pindah lajur gerak samping isyarat maksud pasal 112 ayat 2 pidana pidana kurung 1 denda rp250 000 00 ratus puluh ribu rupiah
Pasal 296,orang kemudi kendara motor lintas kereta api jalan henti sinyal bunyi palang pintu kereta api tutup isyarat maksud pasal 114 huruf a pidana pidana kurung 3 denda rp750 000 00 tujuh ratus puluh ribu rupiah
Pasal 297,orang kemudi kendara motor balap jalan maksud pasal 115 huruf b pidana pidana kurung 1 denda rp3 000 000 00 juta rupiah
Pasal 298,orang kemudi kendara motor pasang segitiga kam lampu isyarat bahaya isyarat henti parkir darurat jalan maksud pasal 121 ayat 1 pidana pidana kurung 2 denda rp500 000 00 ratus ribu rupiah
Pasal 299,orang kendara kendara motor sengaja pegang kendara motor tarik tarik benda- benda bahaya jalan jalur jalan kendara maksud pasal 122 huruf a huruf b huruf c pidana pidana kurung 15 belas denda rp 100 000 00 ratus ribu rupiah
Pasal 300,pidana pidana kurung 1 denda rp250 000 00 ratus puluh ribu rupiah kemudi kendara motor a lajur lajur kiri kecuali ubah arah maksud pasal 124 ayat 1 huruf c b henti kendara turun tumpang maksud pasal 124 ayat 1 huruf d c tutup pintu kendara kendara jalan maksud pasal 124 huruf e
Pasal 301,orang kemudi kendara motor angkut barang jaring jalan sesuai kelas jalan maksud pasal 125 pidana pidana kurung 1 denda rp250 000 00 ratus puluh ribu rupiah
Pasal 302,orang kemudi kendara motor angkut orang henti tem turun tumpang henti jaring jalan izin trayek maksud pasal 126 pidana pidana kurung 1 denda rp250 000 00 ratus puluh ribu rupiah
Pasal 303,orang kemudi mobil barang angkut orang kecuali alas maksud pasal 137 ayat 4 huruf a huruf b huruf c pidana pidana kurung 1 denda rp250 000 00 ratus puluh ribu rupiah
Pasal 304,orang kemudi kendara angkut orang tuju turun tumpang jalan kendara angkut sesuai angkut maksud pasal 153 ayat 1 pidana pidana kurung 1 denda rp250 000 00 ratus puluh ribu rupiah
Pasal 305,orang kemudi kendara motor angkut barang khusus penuh syarat selamat tanda barang parkir bongkar muat operasi rekomendasi instansi kait maksud pasal 162 ayat 1 huruf a huruf b huruf c huruf d huruf e huruf f pidana pidana kurung 2 denda rp500 000 00 ratus ribu rupiah
Pasal 306,orang kemudi kendara angkut barang lengkap surat muat dokumen jalan maksud pasal 168 ayat 1 pidana pidana kurung 1 denda rp250 000 00 ratus puluh ribu rupiah
Pasal 307,orang kemudi kendara motor angkut barang patuh kena tata muat daya angkut dimensi kendara maksud pasal 169 ayat 1 pidana pidana kurung 2 denda rp500 000 00 ratus ribu rupiah
Pasal 308,pidana pidana kurung 2 denda rp500 000 00 ratus ribu rupiah orang kemudi kendara motor a milik izin selenggara angkut orang trayek maksud pasal 173 ayat 1 huruf a b milik izin selenggara angkut orang trayek maksud pasal 173 ayat 1 huruf b c milik izin selenggara angkut barang khusus alat berat maksud pasal 173 ayat 1 huruf c d simpang izin maksud pasal 173
Pasal 309,orang asuransi tanggung ganti rugi derita tumpang kirim barang maksud pasal 189 pidana pidana kurung 6 enam denda rp1 500 000 00 juta ratus ribu rupiah
Pasal 310,1 orang kemudi kendara motor lalai akibat celaka lalu-lintas rusa kendara barang maksud pasal 229 ayat 2 pidana pidana penjara 6 enam denda rp1 000 000 00 juta rupiah 2 orang kemudi kendara motor lalai akibat celaka lalu-lintas korban luka ringan rusa kendara barang maksud pasal 229 ayat 3 pidana pidana penjara 1 denda rp2 000 000 00 juta rupiah 3 orang kemudi kendara motor lalai akibat celaka lalu-lintas korban luka berat maksud pasal 229 ayat 4 pidana pidana penjara 5 denda rp10 000 000 00 puluh juta rupiah 4 celaka maksud ayat 3 akibat orang tinggal dunia pidana pidana penjara 6 enam denda rp12 000 000 00 belas juta rupiah
Pasal 311,1 orang sengaja kemudi kendara motor bahaya nyawa barang pidana pidana penjara 1 denda rp3 000 000 00 juta rupiah 2 maksud ayat 1 akibat celaka lalu-lintas rusa kendara barang maksud pasal 229 ayat 2 laku pidana pidana penjara 2 denda rp4 000 000 00 juta rupiah 3 maksud ayat 1 akibat celaka lalu-lintas korban luka ringan rusa kendara barang maksud pasal 229 ayat 3 laku pidana pidana penjara 4 denda rp8 000 000 00 delapan juta rupiah 4 maksud ayat 1 akibat celaka lalu-lintas korban luka berat maksud pasal 229 ayat 4 laku pidana pidana penjara 10 puluh denda rp20 000 000 00 puluh juta rupiah 5 maksud ayat 4 akibat orang tinggal dunia laku pidana pidana penjara 12 belas denda rp24 000 000 00 puluh juta rupiah
Pasal 312,orang kemudi kendara motor libat celaka lalu-lintas sengaja henti kendara tolong lapor celaka lalu-lintas polisi negara republik indonesia maksud pasal 231 ayat 1 huruf a huruf b huruf c alas patut pidana pidana penjara 3 denda rp75 000 000 00 tujuh puluh juta rupiah
Pasal 313,orang asuransi awak kendara tumpang maksud pasal 237 pidana pidana kurung 6 enam denda rp1 500 000 00 juta ratus ribu rupiah
Pasal 314,pidana penjara kurung denda laku tindak pidana lalu-lintas jatuh pidana upa cabut surat izin kemudi ganti rugi akibat tindak pidana lalu-lintas
Pasal 315,1 tindak pidana laku usaha angkut pertanggungjawaban pidana kena hadap usaha angkut urus 2 tindak pidana lalu-lintas laku usaha angkut pidana jatuh hadap urus maksud ayat 1 jatuh pidana denda kali 3 pidana denda pasal bab 3 pidana denda usaha angkut jatuh pidana upa beku cabut izin selenggara angkut kendara
Pasal 316,1 maksud pasal 274 pasal 275 ayat 1 pasal 276 pasal 278 pasal 279 pasal 280 pasal 281 pasal 282 pasal 283 pasal 284 pasal 285 pasal 286 pasal 287 pasal 288 pasal 289 pasal 290 pasal 291 pasal 292 pasal 293 pasal 294 pasal 295 pasal 296 pasal 297 pasal 298 pasal 299 pasal 300 pasal 301 pasal 302 pasal 303 pasal 304 pasal 305 pasal 306 pasal 307 pasal 308 pasal 309 pasal 313 langgar 2 maksud pasal 273 pasal 275 ayat 2 pasal 277 pasal 310 pasal 311 pasal 312 jahat
Pasal 317,nilai tukar mata uang rupiah alami turun nilai denda maksud bab xx atur perintah
Pasal 318,undang laku didik latih kemudi selenggara lembaga didik latih kemudi langsung sesuai izin jangka 2 wajib sesuai undang- undang
Pasal 319,undang laku audit laksana auditor perintah jalan selesai audit
Pasal 320,atur laksana undang 1 undang laku
Pasal 321,forum lalu-lintas angkut jalan bentuk 1 undang laku
Pasal 322,pusat kendali sistem informasi komunikasi lalu-lintas angkut jalan bentuk 2 undang laku
Pasal 323,unit kelola dana preservasi jalan fungsi 1 undang laku
Pasal 324,undang laku atur laksana undang nomor 14 1992 lalu-lintas angkut jalan lembar negara republik indonesia 1992 nomor 49 lembar negara republik indonesia nomor 3480 nyata laku ganti dasar undang
Pasal 325,undang laku undang nomor 14 1992 lalu-lintas angkut jalan lembar negara republik indonesia 1992 nomor 49 lembar negara republik indonesia nomor 3480 cabut nyata laku
Pasal 326,undang laku tanggal undang orang perintah undang undang- undang lembar negara republik indonesia
